puesto,metraje
0001,38.350000000000001
0002,61.979999999999997
001,81.439999999999998
002,102.64
003,23.629999999999999
003,23.629999999999999
004,38.350000000000001
005,38.350000000000001
01,14.4
01,14.4
02,11.0
03,23.0
04,45.409999999999997
05,45.409999999999997
06,23.0
07,20.109999999999999
08,22.629999999999999
09,26.550000000000001
010,26.550000000000001
Stand #1,3.6499999999999999
Stand #2,3.6499999999999999
Stand #3,3.6499999999999999
1138,23.170000000000002
1142,23.170000000000002
101,11.0
102,23.0
103,7.2199999999999998
103,7.2199999999999998
104,7.2199999999999998
104,7.2199999999999998
105,23.0
106,20.109999999999999
107,22.629999999999999
107,22.629999999999999
108,26.550000000000001
109,26.550000000000001
Stand #1,3.6200000000000001
Stand #2,3.6200000000000001
Stand #3,3.6200000000000001
Stand #4,3.6200000000000001
201,6.6200000000000001
202,11.0
203,23.0
204,33.560000000000002
205,33.560000000000002
206,23.0
207,20.109999999999999
208,22.629999999999999
